timestamp,source_layer,target_layer,method
2026-06-17,S-BEAM,S-CARPORT,static
2026-06-17,S-BEAM-HDLN,S-CARPORT,static
2026-06-17,E-PV MODULES,PV-MODS,static
2026-06-17,E_Conduit run,E-CONDUIT,static
2026-06-17,E_Stringing,E-STRING,static
2026-06-17,G_Drawing Line,Purge,static
2026-06-17,9,E-SLD,static
2026-06-17,A_Symbols,G-ANNO-TEXT,static
2026-06-17,Truss,S-CARPORT,static
2026-06-17,racking,PV-RACK,static
2026-06-17,PROPERTY_LINES,A-PROP,static
2026-06-17,OBSTRUCTIONS,S-SITE,static
2026-06-17,SETBACKS,A-SETB,static
2026-06-17,MODULES,PV-MODS,static
2026-06-17,BUILDINGS,A-BLDG,static
2026-06-17,IMG,G-REFS,static
2026-06-17,ARRAY LABEL,G-ANNO-TEXT,static
2026-06-17,PDF2_Geometry,S-CARPORT,static
2026-06-17,PDF2_Solid Fills,G-HATCH,static
2026-06-17,PDF2_Text,G-ANNO-TEXT,static
2026-06-17,PDF3_Layer 1_5,S-CARPORT,static
2026-06-17,PDF4_Geometry,PV-RACK,static
2026-06-17,PDF4_Solid Fills,S-CARPORT,static
2026-06-17,A-SIDE ROADS,S-SITE,static
2026-06-17,E-PV-COND,E-CONDUIT-AC,static
2026-06-17,SOLAR PV-NOTES,G-ANNO-TEXT,static
2026-06-17,S-ROOF FRAMING (E),S-ROOF,static
2026-06-17,C-CURB-GUTTER-WIDEWALK,S-SITE,static
2026-06-17,E-DETAILS,E-DETL,static
2026-06-17,E-CARPORT,S-CARPORT,static
2026-06-17,E-EQUIPMENT,E-EQUIP,static
2026-06-17,E-CONDUIT RUN,E-CONDUIT,static
2026-06-17,A-BUILDING OUTLINE (E),A-BLDG,static
2026-06-17,E-UNDERGROUND CONDUIT,E-CONDUIT-AC,static
2026-06-17,G-VIEWPORT,G-VPORT,static
2026-06-17,A-ROOF OBSTRUCTIONS,A-BLDG,static
2026-06-17,C-PLANTER,S-SITE,static
2026-06-17,E-REV,G-ANNO-REVS,static
2026-06-17,A-BUILDING OUTLINE (N),A-BLDG,static
2026-06-17,E-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,S-COLUMN,S-CARPORT,static
2026-06-17,SOLAR PV-MODULES LAYOUT,PV-MODS,static
2026-06-17,EV-EV CHARGER EQUIPMENT,EV-EQUIP,static
2026-06-17,E-STAMP,G-ANNO-STAMP,static
2026-06-17,E-NOTES,G-ANNO-TEXT,static
2026-06-17,SOLAR PV-RACKING,PV-RACK,static
2026-06-17,C-PARKING LINES,S-SITE,static
2026-06-17,A-FIRE SETBACK,A-SETB,static
2026-06-17,G-TEXT,G-ANNO-TEXT,static
2026-06-17,A-BUILDING OUTLINE SECONDARY,A-BLDG,static
2026-06-17,C-PARCEL LINE - PROPERTY LINE,A-PROP,static
2026-06-17,EV-EV CHARGER  L2,EV-EQUIP,static
2026-06-17,EV-EV CHARGER  L3,EV-EQUIP,static
2026-06-17,S-FOUNDATION,S-PAD,static
2026-06-17,S-ROOF RAFTER 3,S-ROOF,static
2026-06-17,S-DETAILS,S-DETL,static
2026-06-17,S-ROOF RAFTER 2,S-ROOF,static
2026-06-17,A-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,S-ROOF RAFTER 1,S-ROOF,static
2026-06-17,A-GROUND,S-SITE,static
2026-06-17,E_Module,PV-MODS,static
2026-06-17,E-PV-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,TEXT,G-ANNO-TEXT,static
2026-06-17,Dim,G-ANNO-DIMS,static
2026-06-17,E_Unistrut,S-DETL,static
2026-06-17,E-PV-CONDUIT,E-CONDUIT,static
2026-06-17,E-ANNO-DIMENSIONS,G-ANNO-DIMS,static
2026-06-17,G-ANNO-VIEWPORT,G-VPORT,static
2026-06-17,G-ANNO-DEFPOINTS,Defpoints,static
2026-06-17,E-PV-EQUIPMENT NEW,E-EQUIP,static
2026-06-17,1,0,static
2026-06-17,E_Single Line,E-SLD,static
2026-06-17,E-PV-WORKING CLEARANCE,E-CLEARANCE,static
2026-06-17,unistrut,S-DETL,static
2026-06-17,G_VIEWPORT,G-VPORT,static
2026-06-17,E-ANNO-TEXT,G-ANNO-TEXT,static
2026-06-17,A_TEXT,G-ANNO-TEXT,static
2026-06-17,A_street axis,S-SITE,static
2026-06-17,A_Bld Outline,A-BLDG,static
2026-06-17,A_Obstructions,A-ROOF-EQUIP,static
2026-06-17,A_Wall,A-WALL,static
2026-06-17,A_Door,A-BLDG,static
2026-06-17,A_Roof lines,A-ROOF,static
2026-06-17,V-PVMT-ROAD,S-SITE,static
2026-06-17,V-PVMT-MRKG,S-SITE,static
2026-06-17,S_Canopy border,S-CARPORT,static
2026-06-17,E_Equipment Existing,E-EQUIP,static
2026-06-17,S-BEAMS,S-CARPORT,static
2026-06-17,S_Columns,S-CARPORT,static
2026-06-17,S_Structure Metal,S-CARPORT,static
2026-06-17,E-PV-EQUIPMENT,E-EQUIP,static
2026-06-17,Text Simplex,G-ANNO-TEXT,static
2026-06-17,Viewport,G-VPORT,static
2026-06-17,A_Dimensions,G-ANNO-DIMS,static
2026-06-17,G_Text New,G-ANNO-TEXT,static
2026-06-17,S-ANNO-TEXT,G-ANNO-TEXT,static
2026-06-17,E-EQUIPMENT NEW,E-EQUIP,static
